Discipline,HPSA ID,HPSA Name,Designation Type,Primary State Name,County Name,HPSA FTE Short,HPSA Score,PC MCTA Score,Status,Rural Status,Designation Date,Update Date
,LCDN MOBILE HEALTH VAN,PO BOX 237,El Rito,NM,87530-0237,Rio Arriba,Rural,,,,,
Primary Care,1359993583,SANTA ANNA HEALTH STATION,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"Sandoval County, NM",,19,16,Designated,Non-Rural,10/26/2002,09/22/2025
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,,
,SANTA ANNA HEALTH STATION,2 Dove Rd,Bernalillo,NM,87004-5906,Sandoval,Non-Rural,,,,,
Mental Health,7356527833,SANTA ANNA HEALTH STATION,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"Sandoval County, NM",,18,NA,Designated,Non-Rural,08/18/2019,09/22/2025
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,,
,SANTA ANNA HEALTH STATION,2 Dove Rd,Bernalillo,NM,87004-5906,Sandoval,Non-Rural,,,,,
Dental Health,6352845646,SANTA ANNA HEALTH STATION,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"Sandoval County, NM",,20,NA,Designated,Non-Rural,08/18/2019,09/22/2025
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,,
,SANTA ANNA HEALTH STATION,2 Dove Rd,Bernalillo,NM,87004-5906,Sandoval,Non-Rural,,,,,
Primary Care,1358042446,TATUM CLINIC,Rural Health Clinic,New Mexico,"Lea County, NM",,17,18,Designated,Rural,08/18/2019,09/22/2025
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,,
,TATUM CLINIC,310 N Main St,Tatum,NM,88267-9525,Lea,Rural,,,,,
Mental Health,7354552718,TATUM CLINIC,Rural Health Clinic,New Mexico,"Lea County, NM",,18,NA,Designated,Rural,08/18/2019,09/22/2025
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,,
,TATUM CLINIC,310 N Main St,Tatum,NM,88267-9525,Lea,Rural,,,,,
Dental Health,6356882676,TATUM CLINIC,Rural Health Clinic,New Mexico,"Lea County, NM",,15,NA,Designated,Rural,08/18/2019,09/22/2025
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,,
,TATUM CLINIC,310 N Main St,Tatum,NM,88267-9525,Lea,Rural,,,,,
Primary Care,1359370038,LOVINGTON CLINIC,Rural Health Clinic,New Mexico,"Lea County, NM",,17,17,Designated,Rural,08/18/2019,09/22/2025
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,,
,LOVINGTON CLINIC,1600 N Main Ave,Lovington,NM,88260-2813,Lea,Rural,,,,,
Mental Health,7354186234,LOVINGTON CLINIC,Rural Health Clinic,New Mexico,"Lea County, NM",,19,NA,Designated,Rural,08/18/2019,09/22/2025
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,,
,LOVINGTON CLINIC,1600 N Main Ave,Lovington,NM,88260-2813,Lea,Rural,,,,,
Dental Health,6358573230,LOVINGTON CLINIC,Rural Health Clinic,New Mexico,"Lea County, NM",,17,NA,Designated,Rural,08/18/2019,09/22/2025
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,,
,LOVINGTON CLINIC,1600 N Main Ave,Lovington,NM,88260-2813,Lea,Rural,,,,,
Primary Care,1359783968,SOUTHWEST CARE CENTER,Federally Qualified Health Center Look-alike,New Mexico,"Santa Fe County, NM",,20,18,Designated,Non-Rural,08/18/2019,09/22/2025
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,,
,Southwest CARE Center - Albuquerque,"4710 Jefferson St NE, Ste A",Albuquerque,NM,87109-2156,Bernalillo,Non-Rural,,,,,
,Southwest CARE Center - Galisteo Family Medicince,1691 Galisteo St,Santa Fe,NM,87505-4780,Santa Fe,Non-Rural,,,,,
,Southwest CARE Center - Primary Care Services,649 Harkle Rd,Santa Fe,NM,87505-4765,Santa Fe,Non-Rural,,,,,
,Southwest CARE Center - Women's Health & Pediatrics,901 W Alameda St,Santa Fe,NM,87501-1673,Santa Fe,Non-Rural,,,,,
Mental Health,7353601994,SOUTHWEST CARE CENTER,Federally Qualified Health Center Look-alike,New Mexico,"Santa Fe County, NM",,18,NA,Designated,Non-Rural,08/18/2019,09/22/2025
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,,
,Southwest CARE Center - Albuquerque,"4710 Jefferson St NE, Ste A",Albuquerque,NM,87109-2156,Bernalillo,Non-Rural,,,,,
,Southwest CARE Center - Galisteo Family Medicince,1691 Galisteo St,Santa Fe,NM,87505-4780,Santa Fe,Non-Rural,,,,,
,Southwest CARE Center - Primary Care Services,649 Harkle Rd,Santa Fe,NM,87505-4765,Santa Fe,Non-Rural,,,,,
,Southwest CARE Center - Women's Health & Pediatrics,901 W Alameda St,Santa Fe,NM,87501-1673,Santa Fe,Non-Rural,,,,,
Dental Health,6359727150,SOUTHWEST CARE CENTER,Federally Qualified Health Center Look-alike,New Mexico,"Santa Fe County, NM",,19,NA,Designated,Non-Rural,08/18/2019,09/22/2025
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,,
,Southwest CARE Center - Albuquerque,"4710 Jefferson St NE, Ste A",Albuquerque,NM,87109-2156,Bernalillo,Non-Rural,,,,,
,Southwest CARE Center - Galisteo Family Medicince,1691 Galisteo St,Santa Fe,NM,87505-4780,Santa Fe,Non-Rural,,,,,
,Southwest CARE Center - Primary Care Services,649 Harkle Rd,Santa Fe,NM,87505-4765,Santa Fe,Non-Rural,,,,,
,Southwest CARE Center - Women's Health & Pediatrics,901 W Alameda St,Santa Fe,NM,87501-1673,Santa Fe,Non-Rural,,,,,
Primary Care,1359993555,"MORA VALLEY COMMUNITY HEALTH SERVICES, INC",Federally Qualified Health Center,New Mexico,"Mora County, NM",,24,20,Designated,Rural,05/20/2003,09/22/2025
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,,
,Administration,1 Mora Valley Clinic Rd,Mora,NM,87732-2202,Mora,Rural,,,,,
,Finance & Human Resources,11 Mora Valley Clinic Rd,Mora,NM,87732,Mora,Rural,,,,,
,Main Clinic,3 Mora Valley Clinic Rd,Mora,NM,87732-2202,Mora,Rural,,,,,
,School Based Health Center Clinic,10 Ranger Rd,Mora,NM,87732-2340,Mora,Rural,,,,,
Mental Health,7359993537,"MORA VALLEY COMMUNITY HEALTH SERVICES, INC",Federally Qualified Health Center,New Mexico,"Mora County, NM",,19,NA,Designated,Rural,10/26/2002,09/22/2025
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,,
,Administration,1 Mora Valley Clinic Rd,Mora,NM,87732-2202,Mora,Rural,,,,,
,Finance & Human Resources,11 Mora Valley Clinic Rd,Mora,NM,87732,Mora,Rural,,,,,
,Main Clinic,3 Mora Valley Clinic Rd,Mora,NM,87732-2202,Mora,Rural,,,,,
,School Based Health Center Clinic,10 Ranger Rd,Mora,NM,87732-2340,Mora,Rural,,,,,
Dental Health,6359993526,"MORA VALLEY COMMUNITY HEALTH SERVICES, INC",Federally Qualified Health Center,New Mexico,"Mora County, NM",,25,NA,Designated,Rural,05/20/2003,09/22/2025
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,,
,Administration,1 Mora Valley Clinic Rd,Mora,NM,87732-2202,Mora,Rural,,,,,
,Finance & Human Resources,11 Mora Valley Clinic Rd,Mora,NM,87732,Mora,Rural,,,,,
,Main Clinic,3 Mora Valley Clinic Rd,Mora,NM,87732-2202,Mora,Rural,,,,,
,School Based Health Center Clinic,10 Ranger Rd,Mora,NM,87732-2340,Mora,Rural,,,,,
Primary Care,1359993569,"LA CASA DE BUENA SALUD, INC.",Federally Qualified Health Center,New Mexico,"Roosevelt County, NM",,21,20,Designated,Rural,10/26/2002,09/22/2025
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,,
,Brown Early Childhood Center School Based Dental,520 W 5th St,Portales,NM,88130-6329,Roosevelt,Rural,,,,,
,DBA LA CASA FAMILY HEALTH CENTER,1515 W Fir St,Portales,NM,88130-5703,Roosevelt,Rural,,,,,
,James Elementary School Based Dental,701 W 18th St,Portales,NM,88130-7237,Roosevelt,Rural,,,,,
,La Casa Community Behavioral Health Services Psycho Social Rehab Center,1010 S Garden Ave,Roswell,NM,88203-6866,Chaves,Rural,,,,,
,LA CASA DE BUENA SALUD - CLOVIS,1521 W 13th St,Clovis,NM,88101-5568,Curry,Rural,,,,,
,La Casa Family Dentistry,"200 W Wilshire Blvd, Ste D",Roswell,NM,88201-0627,Chaves,Rural,,,,,
,La Casa Family Health Center,1511 S Grand Ave,Roswell,NM,88203-5407,Chaves,Rural,,,,,
,La Casa Mobile Dental Clinic Roswell,1511 S Grand Ave,Roswell,NM,88203-5407,Chaves,Rural,,,,,
,La Casa SB Dental Program Freshman Campus,1400 Cameo St,Clovis,NM,88101-5401,Curry,Rural,,,,,
,La Casa School Based Dental Clinic Clovis Parkview Elementary School,1121 Maple St,Clovis,NM,88101,Curry,Rural,,,,,
,La Casa School Based Dental Clinic James Bickley Elementary School,500 W 14th St,Clovis,NM,88101-5679,Curry,Rural,,,,,
,La Casa School Based Dental Clinic La Casita Elementary School,400 N Davis St,Clovis,NM,88101-7279,Curry,Rural,,,,,
,La Casa School Based Dental Clinic Lockwood Elementary School,400 Lockwood Dr,Clovis,NM,88101,Curry,Rural,,,,,
,"La Casa School Based Medical/Dental Center, Goddard High School",701 E Country Club Rd,Roswell,NM,88201-7607,Chaves,Rural,,,,,
,"La Casa School Based Medical/Dental Center, Mesa Middle School",1601 E Bland St,Roswell,NM,88203-7900,Chaves,Rural,,,,,
,"La Casa School Based Medical/Dental Center, Roswell High School",500 W Hobbs St,Roswell,NM,88203-1834,Chaves,Rural,,,,,
,La Casa School Based Medical/Dental Clinic Clovis Marshall Middle School,100 Commerce Way,Clovis,NM,88101-4768,Curry,Rural,,,,,
,Lindsey-Steiner Elementary School Based Dental,1000 N Avenue M,Portales,NM,88130-5226,Roosevelt,Rural,,,,,
,Los Ninos Pediatrics,200 W Wilshire Blvd STE A,Roswell,NM,88201-0627,Chaves,Rural,,,,,
,Mountain View Middle School Based Dental,312 E Mountain View Rd,Roswell,NM,88203-0818,Chaves,Rural,,,,,
,Nancy Lopez Elementary School Based Dental,1208 E Bland St,Roswell,NM,88203-7114,Chaves,Rural,,,,,
,Pecos Elementary School Based Dental,600 E Hobbs St,Roswell,NM,88203-6815,Chaves,Rural,,,,,
,Portales High School Based Dental,201 S Knoxville St,Portales,NM,88130-6100,Roosevelt,Rural,,,,,
,Portales Junior High School Based Dental,700 E 3rd St,Portales,NM,88130-6025,Roosevelt,Rural,,,,,
,Valencia Elementary School Based Dental,1415 S Globe Ave,Portales,NM,88130-6937,Roosevelt,Rural,,,,,
Mental Health,7359993533,"LA CASA DE BUENA SALUD, INC.",Federally Qualified Health Center,New Mexico,"Roosevelt County, NM",,23,NA,Designated,Rural,10/26/2002,09/22/2025
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,,
,Brown Early Childhood Center School Based Dental,520 W 5th St,Portales,NM,88130-6329,Roosevelt,Rural,,,,,
,DBA LA CASA FAMILY HEALTH CENTER,1515 W Fir St,Portales,NM,88130-5703,Roosevelt,Rural,,,,,
,James Elementary School Based Dental,701 W 18th St,Portales,NM,88130-7237,Roosevelt,Rural,,,,,
,La Casa Community Behavioral Health Services Psycho Social Rehab Center,1010 S Garden Ave,Roswell,NM,88203-6866,Chaves,Rural,,,,,
,LA CASA DE BUENA SALUD - CLOVIS,1521 W 13th St,Clovis,NM,88101-5568,Curry,Rural,,,,,
,La Casa Family Dentistry,"200 W Wilshire Blvd, Ste D",Roswell,NM,88201-0627,Chaves,Rural,,,,,
,La Casa Family Health Center,1511 S Grand Ave,Roswell,NM,88203-5407,Chaves,Rural,,,,,
,La Casa Mobile Dental Clinic Roswell,1511 S Grand Ave,Roswell,NM,88203-5407,Chaves,Rural,,,,,
,La Casa SB Dental Program Freshman Campus,1400 Cameo St,Clovis,NM,88101-5401,Curry,Rural,,,,,
,La Casa School Based Dental Clinic Clovis Parkview Elementary School,1121 Maple St,Clovis,NM,88101,Curry,Rural,,,,,
,La Casa School Based Dental Clinic James Bickley Elementary School,500 W 14th St,Clovis,NM,88101-5679,Curry,Rural,,,,,
,La Casa School Based Dental Clinic La Casita Elementary School,400 N Davis St,Clovis,NM,88101-7279,Curry,Rural,,,,,
,La Casa School Based Dental Clinic Lockwood Elementary School,400 Lockwood Dr,Clovis,NM,88101,Curry,Rural,,,,,
,"La Casa School Based Medical/Dental Center, Goddard High School",701 E Country Club Rd,Roswell,NM,88201-7607,Chaves,Rural,,,,,
,"La Casa School Based Medical/Dental Center, Mesa Middle School",1601 E Bland St,Roswell,NM,88203-7900,Chaves,Rural,,,,,
,"La Casa School Based Medical/Dental Center, Roswell High School",500 W Hobbs St,Roswell,NM,88203-1834,Chaves,Rural,,,,,
,La Casa School Based Medical/Dental Clinic Clovis Marshall Middle School,100 Commerce Way,Clovis,NM,88101-4768,Curry,Rural,,,,,
,Lindsey-Steiner Elementary School Based Dental,1000 N Avenue M,Portales,NM,88130-5226,Roosevelt,Rural,,,,,
,Los Ninos Pediatrics,200 W Wilshire Blvd STE A,Roswell,NM,88201-0627,Chaves,Rural,,,,,
,Mountain View Middle School Based Dental,312 E Mountain View Rd,Roswell,NM,88203-0818,Chaves,Rural,,,,,
,Nancy Lopez Elementary School Based Dental,1208 E Bland St,Roswell,NM,88203-7114,Chaves,Rural,,,,,
,Pecos Elementary School Based Dental,600 E Hobbs St,Roswell,NM,88203-6815,Chaves,Rural,,,,,
,Portales High School Based Dental,201 S Knoxville St,Portales,NM,88130-6100,Roosevelt,Rural,,,,,
,Portales Junior High School Based Dental,700 E 3rd St,Portales,NM,88130-6025,Roosevelt,Rural,,,,,
,Valencia Elementary School Based Dental,1415 S Globe Ave,Portales,NM,88130-6937,Roosevelt,Rural,,,,,
Dental Health,6359993540,"LA CASA DE BUENA SALUD, INC.",Federally Qualified Health Center,New Mexico,"Roosevelt County, NM",,25,NA,Designated,Rural,10/26/2002,09/22/2025
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,,
,Brown Early Childhood Center School Based Dental,520 W 5th St,Portales,NM,88130-6329,Roosevelt,Rural,,,,,
,DBA LA CASA FAMILY HEALTH CENTER,1515 W Fir St,Portales,NM,88130-5703,Roosevelt,Rural,,,,,
,James Elementary School Based Dental,701 W 18th St,Portales,NM,88130-7237,Roosevelt,Rural,,,,,
,La Casa Community Behavioral Health Services Psycho Social Rehab Center,1010 S Garden Ave,Roswell,NM,88203-6866,Chaves,Rural,,,,,
,LA CASA DE BUENA SALUD - CLOVIS,1521 W 13th St,Clovis,NM,88101-5568,Curry,Rural,,,,,
,La Casa Family Dentistry,"200 W Wilshire Blvd, Ste D",Roswell,NM,88201-0627,Chaves,Rural,,,,,
,La Casa Family Health Center,1511 S Grand Ave,Roswell,NM,88203-5407,Chaves,Rural,,,,,
,La Casa Mobile Dental Clinic Roswell,1511 S Grand Ave,Roswell,NM,88203-5407,Chaves,Rural,,,,,
,La Casa SB Dental Program Freshman Campus,1400 Cameo St,Clovis,NM,88101-5401,Curry,Rural,,,,,
,La Casa School Based Dental Clinic Clovis Parkview Elementary School,1121 Maple St,Clovis,NM,88101,Curry,Rural,,,,,
,La Casa School Based Dental Clinic James Bickley Elementary School,500 W 14th St,Clovis,NM,88101-5679,Curry,Rural,,,,,
,La Casa School Based Dental Clinic La Casita Elementary School,400 N Davis St,Clovis,NM,88101-7279,Curry,Rural,,,,,
,La Casa School Based Dental Clinic Lockwood Elementary School,400 Lockwood Dr,Clovis,NM,88101,Curry,Rural,,,,,
,"La Casa School Based Medical/Dental Center, Goddard High School",701 E Country Club Rd,Roswell,NM,88201-7607,Chaves,Rural,,,,,
,"La Casa School Based Medical/Dental Center, Mesa Middle School",1601 E Bland St,Roswell,NM,88203-7900,Chaves,Rural,,,,,
,"La Casa School Based Medical/Dental Center, Roswell High School",500 W Hobbs St,Roswell,NM,88203-1834,Chaves,Rural,,,,,
,La Casa School Based Medical/Dental Clinic Clovis Marshall Middle School,100 Commerce Way,Clovis,NM,88101-4768,Curry,Rural,,,,,
,Lindsey-Steiner Elementary School Based Dental,1000 N Avenue M,Portales,NM,88130-5226,Roosevelt,Rural,,,,,
,Los Ninos Pediatrics,200 W Wilshire Blvd STE A,Roswell,NM,88201-0627,Chaves,Rural,,,,,
,Mountain View Middle School Based Dental,312 E Mountain View Rd,Roswell,NM,88203-0818,Chaves,Rural,,,,,
,Nancy Lopez Elementary School Based Dental,1208 E Bland St,Roswell,NM,88203-7114,Chaves,Rural,,,,,
,Pecos Elementary School Based Dental,600 E Hobbs St,Roswell,NM,88203-6815,Chaves,Rural,,,,,
,Portales High School Based Dental,201 S Knoxville St,Portales,NM,88130-6100,Roosevelt,Rural,,,,,
,Portales Junior High School Based Dental,700 E 3rd St,Portales,NM,88130-6025,Roosevelt,Rural,,,,,
,Valencia Elementary School Based Dental,1415 S Globe Ave,Portales,NM,88130-6937,Roosevelt,Rural,,,,,
Primary Care,1355771495,SUNRISE CLINICS,Federally Qualified Health Center Look-alike,New Mexico,"Guadalupe County, NM",,19,15,Designated,Rural,04/22/2021,09/22/2025
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,,
,Raton Clinic,166 Hospital Dr,Raton,NM,87740-2002,Colfax,Rural,,,,,
,Santa Rosa High School School Based Clinic,717 S 3rd St,Santa Rosa,NM,88435-2411,Guadalupe,Rural,,,,,
,SB-WLV-HS-MS,1024 S Pacific St,Las Vegas,NM,87701-3415,San Miguel,Rural,,,,,
,Sunrise Clinics - Las Vegas,2020 7th St,Las Vegas,NM,87701-4958,San Miguel,Rural,,,,,
,Sunrise Clinics - Santa Rosa,117 Camino de Vida,Santa Rosa,NM,88435-2266,Guadalupe,Rural,,,,,
,Sunrise Clinics - Tucumcari,220 S 3rd St,Tucumcari,NM,88401-2802,Quay,Rural,,,,,
,Sunrise Clinics Billing Office,112 N 1st St,Tucumcari,NM,88401,Quay,Rural,,,,,
,Sunrise Clinics-LV2,2515 Ridge Runner Rd,Las Vegas,NM,87701-4972,San Miguel,Rural,,,,,
,Tucumcari High School School Based Clinic,1001 S 7th St,Tucumcari,NM,88401-3303,Quay,Rural,,,,,
Mental Health,7352104536,SUNRISE CLINICS,Federally Qualified Health Center Look-alike,New Mexico,"Guadalupe County, NM",,17,NA,Designated,Rural,04/22/2021,09/22/2025
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,,
,Raton Clinic,166 Hospital Dr,Raton,NM,87740-2002,Colfax,Rural,,,,,
,Santa Rosa High School School Based Clinic,717 S 3rd St,Santa Rosa,NM,88435-2411,Guadalupe,Rural,,,,,
,SB-WLV-HS-MS,1024 S Pacific St,Las Vegas,NM,87701-3415,San Miguel,Rural,,,,,
,Sunrise Clinics - Las Vegas,2020 7th St,Las Vegas,NM,87701-4958,San Miguel,Rural,,,,,
,Sunrise Clinics - Santa Rosa,117 Camino de Vida,Santa Rosa,NM,88435-2266,Guadalupe,Rural,,,,,
,Sunrise Clinics - Tucumcari,220 S 3rd St,Tucumcari,NM,88401-2802,Quay,Rural,,,,,
,Sunrise Clinics Billing Office,112 N 1st St,Tucumcari,NM,88401,Quay,Rural,,,,,
,Sunrise Clinics-LV2,2515 Ridge Runner Rd,Las Vegas,NM,87701-4972,San Miguel,Rural,,,,,
,Tucumcari High School School Based Clinic,1001 S 7th St,Tucumcari,NM,88401-3303,Quay,Rural,,,,,
Dental Health,6354869970,SUNRISE CLINICS,Federally Qualified Health Center Look-alike,New Mexico,"Guadalupe County, NM",,15,NA,Designated,Rural,04/22/2021,09/22/2025
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,,
,Raton Clinic,166 Hospital Dr,Raton,NM,87740-2002,Colfax,Rural,,,,,
,Santa Rosa High School School Based Clinic,717 S 3rd St,Santa Rosa,NM,88435-2411,Guadalupe,Rural,,,,,
,SB-WLV-HS-MS,1024 S Pacific St,Las Vegas,NM,87701-3415,San Miguel,Rural,,,,,
,Sunrise Clinics - Las Vegas,2020 7th St,Las Vegas,NM,87701-4958,San Miguel,Rural,,,,,
,Sunrise Clinics - Santa Rosa,117 Camino de Vida,Santa Rosa,NM,88435-2266,Guadalupe,Rural,,,,,
,Sunrise Clinics - Tucumcari,220 S 3rd St,Tucumcari,NM,88401-2802,Quay,Rural,,,,,
,Sunrise Clinics Billing Office,112 N 1st St,Tucumcari,NM,88401,Quay,Rural,,,,,
,Sunrise Clinics-LV2,2515 Ridge Runner Rd,Las Vegas,NM,87701-4972,San Miguel,Rural,,,,,
,Tucumcari High School School Based Clinic,1001 S 7th St,Tucumcari,NM,88401-3303,Quay,Rural,,,,,
Primary Care,1359993573,LA CLINICA DEL PUEBLO,Federally Qualified Health Center,New Mexico,"Rio Arriba County, NM",,14,14,Designated,Rural,10/26/2002,09/22/2025
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,,
,ESCALANTE TEEN WELLNESS CENTER,State Highway 531,Tierra Amarilla,NM,87575,Rio Arriba,Rural,,,,,
,LA CLINICA DEL PUEBLO DE RIO ARRIBA,84 CR-324,Tierra Amarilla,NM,87575,Rio Arriba,Rural,,,,,
,LCDP Dunham Clinic,179 State Road 29,Chama,NM,87520-0587,Rio Arriba,Rural,,,,,
,LCDP Mobile Unit,84 CR-324,Tierra Amarilla,NM,87575,Rio Arriba,Rural,,,,,
Mental Health,7359993538,LA CLINICA DEL PUEBLO,Federally Qualified Health Center,New Mexico,"Rio Arriba County, NM",,12,NA,Designated,Rural,10/26/2002,09/22/2025
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,,
,ESCALANTE TEEN WELLNESS CENTER,State Highway 531,Tierra Amarilla,NM,87575,Rio Arriba,Rural,,,,,
,LA CLINICA DEL PUEBLO DE RIO ARRIBA,84 CR-324,Tierra Amarilla,NM,87575,Rio Arriba,Rural,,,,,
,LCDP Dunham Clinic,179 State Road 29,Chama,NM,87520-0587,Rio Arriba,Rural,,,,,
,LCDP Mobile Unit,84 CR-324,Tierra Amarilla,NM,87575,Rio Arriba,Rural,,,,,
Dental Health,6359993544,LA CLINICA DEL PUEBLO,Federally Qualified Health Center,New Mexico,"Rio Arriba County, NM",,11,NA,Designated,Rural,10/26/2002,09/22/2025
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,,
,ESCALANTE TEEN WELLNESS CENTER,State Highway 531,Tierra Amarilla,NM,87575,Rio Arriba,Rural,,,,,
,LA CLINICA DEL PUEBLO DE RIO ARRIBA,84 CR-324,Tierra Amarilla,NM,87575,Rio Arriba,Rural,,,,,
,LCDP Dunham Clinic,179 State Road 29,Chama,NM,87520-0587,Rio Arriba,Rural,,,,,
,LCDP Mobile Unit,84 CR-324,Tierra Amarilla,NM,87575,Rio Arriba,Rural,,,,,
Primary Care,1352929304,SIERRA VISTA COMMUNITY HEALTH CENTER,Rural Health Clinic,New Mexico,"Sierra County, NM",,19,19,Designated,Rural,12/22/2020,09/22/2025
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,,
,SIERRA VISTA COMMUNITY HEALTH CENTER,800 E 9th Ave,Truth Or Consequences,NM,87901-1961,Sierra,Rural,,,,,
Mental Health,7352202263,SIERRA VISTA COMMUNITY HEALTH CENTER,Rural Health Clinic,New Mexico,"Sierra County, NM",,18,NA,Designated,Rural,12/22/2020,09/22/2025
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,,
,SIERRA VISTA COMMUNITY HEALTH CENTER,800 E 9th Ave,Truth Or Consequences,NM,87901-1961,Sierra,Rural,,,,,
Dental Health,6355123131,SIERRA VISTA COMMUNITY HEALTH CENTER,Rural Health Clinic,New Mexico,"Sierra County, NM",,19,NA,Designated,Rural,12/22/2020,09/22/2025
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,,
,SIERRA VISTA COMMUNITY HEALTH CENTER,800 E 9th Ave,Truth Or Consequences,NM,87901-1961,Sierra,Rural,,,,,
Primary Care,1356725759,MEMORIAL FAMILY PRACTICE AT ARTESIA GENERAL HOSP,Rural Health Clinic,New Mexico,"Eddy County, NM",,17,18,Designated,Rural,09/18/2020,09/22/2025
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,,
,MEMORIAL FAMILY PRACTICE AT ARTESIA GENERAL HOSP,702 N 13th St,Artesia,NM,88210-1199,Eddy,Rural,,,,,
Mental Health,7353088252,MEMORIAL FAMILY PRACTICE AT ARTESIA GENERAL HOSP,Rural Health Clinic,New Mexico,"Eddy County, NM",,17,NA,Designated,Rural,09/18/2020,09/22/2025
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,,
,MEMORIAL FAMILY PRACTICE AT ARTESIA GENERAL HOSP,702 N 13th St,Artesia,NM,88210-1199,Eddy,Rural,,,,,
Dental Health,6352877666,MEMORIAL FAMILY PRACTICE AT ARTESIA GENERAL HOSP,Rural Health Clinic,New Mexico,"Eddy County, NM",,17,NA,Designated,Rural,09/18/2020,09/22/2025
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,,
,MEMORIAL FAMILY PRACTICE AT ARTESIA GENERAL HOSP,702 N 13th St,Artesia,NM,88210-1199,Eddy,Rural,,,,,
Primary Care,1359993559,NORTHERN NAVAJO MEDICAL CENTER,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"San Juan County, NM",,19,21,Designated,Rural,10/26/2002,09/22/2025
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,,
,NORTHERN NAVAJO MEDICAL CENTER,US-491 N,Shiprock,NM,87420,San Juan,Rural,,,,,
Mental Health,7359993523,NORTHERN NAVAJO MEDICAL CENTER,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"San Juan County, NM",,21,NA,Designated,Rural,10/26/2002,09/22/2025
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,,
,NORTHERN NAVAJO MEDICAL CENTER,US-491 N,Shiprock,NM,87420,San Juan,Rural,,,,,
Dental Health,6359993531,NORTHERN NAVAJO MEDICAL CENTER,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"San Juan County, NM",,22,NA,Designated,Rural,10/26/2002,09/22/2025
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,,
,NORTHERN NAVAJO MEDICAL CENTER,US-491 N,Shiprock,NM,87420,San Juan,Rural,,,,,
Primary Care,1359919575,Albuquerque Indian Dental Clinic,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"Bernalillo County, NM",,19,16,Designated,Non-Rural,08/18/2019,09/22/2025
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,,
,Albuquerque Indian Dental Clinic,9169 Coors Blvd NW,Albuquerque,NM,87120-3101,Bernalillo,Non-Rural,,,,,
Mental Health,7357828856,Albuquerque Indian Dental Clinic,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"Bernalillo County, NM",,18,NA,Designated,Non-Rural,08/18/2019,09/22/2025
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,,
